"","subID","Sex","Age","lat","task_num","Task","cond","InvCond","trial","Stimuli","ExpectedResp","Resp","RT","accuracy"
"1","1","female",21,"right",1,"HFC",1,"Upright",1,"Humains_cib044",1,1,357,"Hit"
"2","1","female",21,"right",1,"HFC",1,"Upright",2,"Humains_cib138",1,1,291,"Hit"
"3","1","female",21,"right",1,"HFC",1,"Upright",3,"Humains_cib118",1,1,273,"Hit"
"4","1","female",21,"right",1,"HFC",1,"Upright",4,"Humains_cib066",1,1,316,"Hit"
"5","1","female",21,"right",1,"HFC",1,"Upright",5,"Humains_cib120",1,1,275,"Hit"
"6","1","female",21,"right",1,"HFC",1,"Upright",6,"Humains_dis136",0,0,NA,"CorrectRejection"
"7","1","female",21,"right",1,"HFC",1,"Upright",7,"Humains_dis137",0,0,NA,"CorrectRejection"
"8","1","female",21,"right",1,"HFC",1,"Upright",8,"Humains_cib055",1,1,319,"Hit"
"9","1","female",21,"right",1,"HFC",1,"Upright",9,"Humains_dis128",0,0,NA,"CorrectRejection"
"10","1","female",21,"right",1,"HFC",1,"Upright",10,"Humains_dis123",0,0,NA,"CorrectRejection"
"11","1","female",21,"right",1,"HFC",1,"Upright",11,"Humains_cib041",1,1,391,"Hit"
"12","1","female",21,"right",1,"HFC",1,"Upright",12,"Humains_dis091",0,0,NA,"CorrectRejection"
"13","1","female",21,"right",1,"HFC",1,"Upright",13,"Humains_cib070",1,1,333,"Hit"
"14","1","female",21,"right",1,"HFC",1,"Upright",14,"Humains_dis077",0,0,NA,"CorrectRejection"
"15","1","female",21,"right",1,"HFC",1,"Upright",15,"Humains_dis138",0,0,NA,"CorrectRejection"
"16","1","female",21,"right",1,"HFC",1,"Upright",16,"Humains_cib039",1,1,352,"Hit"
"17","1","female",21,"right",1,"HFC",1,"Upright",17,"Humains_cib058",1,1,345,"Hit"
"18","1","female",21,"right",1,"HFC",1,"Upright",18,"Humains_dis135",0,0,NA,"CorrectRejection"
"19","1","female",21,"right",1,"HFC",1,"Upright",19,"Humains_cib046",1,1,289,"Hit"
"20","1","female",21,"right",1,"HFC",1,"Upright",20,"Humains_cib036",1,1,338,"Hit"
"21","1","female",21,"right",1,"HFC",1,"Upright",21,"Humains_cib127",1,1,490,"Hit"
"22","1","female",21,"right",1,"HFC",1,"Upright",22,"Humains_cib117",1,1,283,"Hit"
"23","1","female",21,"right",1,"HFC",1,"Upright",23,"Humains_dis107",0,0,NA,"CorrectRejection"
"24","1","female",21,"right",1,"HFC",1,"Upright",24,"Humains_dis112",0,0,NA,"CorrectRejection"
"25","1","female",21,"right",1,"HFC",1,"Upright",25,"Humains_dis103",0,0,NA,"CorrectRejection"
"26","1","female",21,"right",1,"HFC",1,"Upright",26,"Humains_dis113",0,0,NA,"CorrectRejection"
"27","1","female",21,"right",1,"HFC",1,"Upright",27,"Humains_cib060",1,1,331,"Hit"
"28","1","female",21,"right",1,"HFC",1,"Upright",28,"Humains_dis121",0,0,NA,"CorrectRejection"
"29","1","female",21,"right",1,"HFC",1,"Upright",29,"Humains_dis090",0,0,NA,"CorrectRejection"
"30","1","female",21,"right",1,"HFC",1,"Upright",30,"Humains_dis073",0,0,NA,"CorrectRejection"
"31","1","female",21,"right",1,"HFC",1,"Upright",31,"Humains_cib134",1,1,386,"Hit"
"32","1","female",21,"right",1,"HFC",1,"Upright",32,"Humains_dis119",0,0,NA,"CorrectRejection"
"33","1","female",21,"right",1,"HFC",1,"Upright",33,"Humains_cib112",1,1,299,"Hit"
"34","1","female",21,"right",1,"HFC",1,"Upright",34,"Humains_dis122",0,0,NA,"CorrectRejection"
"35","1","female",21,"right",1,"HFC",1,"Upright",35,"Humains_dis087",0,0,NA,"CorrectRejection"
"36","1","female",21,"right",1,"HFC",1,"Upright",36,"Humains_cib129",1,1,320,"Hit"
"37","1","female",21,"right",1,"HFC",1,"Upright",37,"Humains_cib113",1,1,274,"Hit"
"38","1","female",21,"right",1,"HFC",1,"Upright",38,"Humains_dis120",0,0,NA,"CorrectRejection"
"39","1","female",21,"right",1,"HFC",1,"Upright",39,"Humains_cib050",1,1,302,"Hit"
"40","1","female",21,"right",1,"HFC",1,"Upright",40,"Humains_cib136",1,1,371,"Hit"
"41","1","female",21,"right",1,"HFC",1,"Upright",41,"Humains_dis106",0,0,NA,"CorrectRejection"
